ダウンロードした時刻：2020/08/27 10:19:42,,,,,,,,,,
,,,,,,,,,,
,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,時分,時分,,,,時分,時分,
,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号
2006/8/17,33.2,8,2006/8/17 13:20,8,2,26.4,8,2006/8/17 23:30,8,2
2006/8/18,35.2,8,2006/8/18 13:00,8,2,26.1,8,2006/8/18 04:00,8,2
2006/8/19,35.6,8,2006/8/19 14:30,8,2,27.2,8,2006/8/19 06:00,8,2
2006/8/20,33.1,8,2006/8/20 12:20,8,2,27.3,8,2006/8/20 05:10,8,2
2006/8/21,34,8,2006/8/21 13:30,8,2,26.4,8,2006/8/21 06:00,8,2
2006/8/22,32.3,8,2006/8/22 14:00,8,2,25.6,8,2006/8/22 05:10,8,2
2006/8/23,33.4,8,2006/8/23 15:00,8,2,25.5,8,2006/8/23 05:00,8,2
2006/8/24,32.9,8,2006/8/24 14:00,8,2,25.9,8,2006/8/24 05:20,8,2
2006/8/25,31,8,2006/8/25 12:20,8,2,24.6,8,2006/8/25 23:40,8,2
2007/8/1,32.9,8,2007/8/1 15:40,8,2,22.5,8,2007/8/1 03:20,8,2
2007/8/2,33.2,8,2007/8/2 14:40,8,2,25.5,8,2007/8/2 08:10,8,2
2007/8/3,32.6,8,2007/8/3 12:20,8,2,26.9,8,2007/8/3 04:30,8,2
2007/8/4,35.8,8,2007/8/4 13:10,8,2,26.8,8,2007/8/4 02:30,8,2
2007/8/5,35.1,8,2007/8/5 13:20,8,2,25.6,8,2007/8/5 23:50,8,2
2007/8/6,34.5,8,2007/8/6 14:30,8,2,25,8,2007/8/6 02:20,8,2
2007/8/7,33.8,8,2007/8/7 12:00,8,2,24.6,8,2007/8/7 04:50,8,2
2007/8/8,35,8,2007/8/8 14:20,8,2,26.8,8,2007/8/8 05:00,8,2
2007/8/9,35.2,8,2007/8/9 15:20,8,2,26,8,2007/8/9 05:10,8,2
2007/8/10,36.4,8,2007/8/10 13:00,8,2,26.8,8,2007/8/10 05:20,8,2
2007/8/11,37.6,8,2007/8/11 13:20,8,2,26.5,8,2007/8/11 05:10,8,2
